name,address,phone,permit_type,score,date
RASHE'S CUISINE,"585 VINE ST STE 3 ATHENS, GA 30601", (706) 850-4164, FS, 99, 09-25-2020
HAMPTON INN ATHENS,"2220 W BROAD ST ATHENS, GA 30606", (706) 548-9600, FS, 91, 09-24-2020
THE PLACE,"229 E BROAD ST ATHENS, GA 30601",, FS, 94, 09-24-2020
CLASSIC CITY NUTRITION,"3701 ATLANTA HWY STE 8 ATHENS, GA 30606",, FS, 100, 09-24-2020
THE PRETZEL TWISTER,"3700 ATLANTA HWY STE K-7 ATHENS, GA 30606", (706) 583-9415, FS, 99, 09-24-2020
ZOE'S KITCHEN,"145 ALPS RD ATHENS, GA 30606", (706) 850-3400, FS, 96, 09-23-2020
JUST PHO AND MORE,"1063 BAXTER ST ATHENS, GA 30606", (706) 850-1420, FS, 91, 09-22-2020
RAISING CANE'S,"795 BAXTER ST ATHENS, GA 30605", (706) 548-2008, FS, 92, 09-22-2020
WAFFLE HOUSE #746,"1310 OCONEE ST ATHENS, GA 30605", (706) 353-2175, FS, 90, 09-22-2020
LOCO'S GRILL AND PUB,"2020 TIMOTHY RD ATHENS, GA 30606", (706) 549-7700, FS, 93, 09-22-2020
MEDITERRANEAN GRILL INC,"1591 S LUMPKIN ST ATHENS, GA 30605", (706) 543-5000, FS, 93, 09-22-2020
CHICKEN SALAD CHICK,"196 ALPS RD STE 41 ATHENS, GA 30606", (706) 549-7580, FS, 98, 09-21-2020
BARBERITOS EASTSIDE,"1860 BARNETT SHOALS RD ATHENS, GA 30605", (706) 549-9954, FS, 85, 09-18-2020
BUTT HUTT,"480 MACON HWY ATHENS, GA 30606", (706) 850-8511, FS, 86, 09-17-2020
CLASSIC CITY EATS,"1120 BAXTER ST ATHENS, GA 30606", (706) 850-3092, FS, 99, 09-17-2020
GOLDEN SUN,"4375 LEXINGTON RD STE B1 ATHENS, GA 30605", (706) 549-3388, FS, 81, 09-16-2020
DONDEROS',"590 N MILLEDGE AVE ATHENS, GA 30601", (706) 354-8688, FS, 91, 09-16-2020
JINYA RAMEN BAR,"351 E BROAD ST ATHENS, GA 30601",, FS, 94, 09-16-2020
PAPA JOHN'S PIZZA,"498 BAXTER ST ATHENS, GA 30605", (706) 543-7272, FS, 96, 09-16-2020
PELICAN'S SNO BALLS,"510 BAXTER ST STE A&B ATHENS, GA 30605", (803) 429-6686, FS, 98, 09-16-2020
