name,address,phone,permit_type,score,date
BIG WILLY'S SEAFOOD,"100 N MAIN ST SYLVESTER, GA 31791", (229) 869-9700, FS, 100, 09-02-2020
BIG WILLY'S SEAFOOD,"100 N MAIN ST SYLVESTER, GA 31791",, FS, 100, 09-02-2020
NETHER'S SOUL AND SEAFOOD CAFE,"123 FRONT ST SYLVESTER, GA 31791", (229) 776-4891, FS, 100, 08-19-2020
A LIL TASTE OF NEW ORLEANS,"406 N WESTBERRY ST UNIT C SYLVESTER, GA 31791",, FS, 100, 08-03-2020
A LIL TASTE OF NEW ORLEANS MOBILE UNIT,"406 N WESTBERRY ST UNIT C SYLVESTER, GA 31791",, FS, 100, 08-03-2020
KONA ICE OF ALBANY,"1013 W FRANKLIN ST SYLVESTER, GA 31791", (229) 854-3037, FS, 100, 07-13-2020
DOWNTOWN PIZZA & TAVERN,"101 N ISABELLA ST SYLVESTER, GA 31791",, FS, 100, 07-08-2020
KONA ICE OF ALBANY BASE,"1013 W FRANKLIN ST SYLVESTER, GA 31791",, FS, 100, 07-01-2020
KONA ICE OF ALBANY MOBILE UNIT,"1013 W FRANKLIN ST SYLVESTER, GA 31791",, FS, 100, 07-01-2020
H. H. WOOLARD COMMUNITY CENTER,"709 W WALLACE ST SYLVESTER, GA 31791",, FS, 100, 06-24-2020
RAYNER'S SMOKING BBQ,"100 N MAIN ST SYLVESTER, GA 31791",, FS, 100, 02-17-2020
BIG WILLY'S SEAFOOD -MOBILE UNIT,"100 N MAIN ST SYLVESTER, GA 31791", (229) 352-7740, FS, 100, 01-24-2020
TEE'S TASTY BITES,"213 S MAIN ST SYLVESTER, GA 31791",, FS, 100, 01-06-2020
BOSS BAR & GRILL,"213 S MAIN ST SYLVESTER, GA 31791",, FS, 100, 12-31-2019
BOSS BAR & GRILL - TEE'S TASTY BITES BASE OF OPERATION,"213 S MAIN ST SYLVESTER, GA 31791",, FS, 100, 12-31-2019
FOODIE POPS MOBILE UNIT,"101 N WASHINGTON ST UNIT C SYLVESTER, GA 31791", (229) 344-7032, FS, 100, 12-31-2019
PARKER'S CHICKEN,"212 S MAIN ST SYLVESTER, GA 31791", (229) 776-6730, FS, 100, 12-30-2019
OLD MEXICO,"107 N ISABELLA ST SYLVESTER, GA 31791", (229) 777-0071, FS, 100, 12-30-2019
EL METATE MEXICAN RESTAURANT #2,"602 FRANKLIN ST SYLVESTER, GA 31791", (229) 821-3203, FS, 100, 12-30-2019
FAT BOY'S BACKYARD BBQ + MORE,"509 N MAIN ST UNIT C SYLVESTER, GA 31791", (229) 777-0971, FS, 100, 12-20-2019
HOT WOK,"105 E FRANKLIN ST SYLVESTER, GA 31791", (229) 776-1196, FS, 100, 12-20-2019
KENTUCKY FRIED CHICKEN,"501 E FRANKLIN ST SYLVESTER, GA 31791", (229) 776-0963, FS, 100, 12-19-2019
DAIRY QUEEN,"509 E FRANKLIN ST SYLVESTER, GA 31791", (229) 776-6992, FS, 100, 12-18-2019
"PIZZA QUICK, INC","911 E FRANKLIN ST SYLVESTER, GA 31791",, FS, 96, 12-18-2019
THREE SQUARES DINER,"202 W FRANKLIN ST SYLVESTER, GA 31791", (229) 776-5891, FS, 99, 12-17-2019
MCDONALD'S,"617 E FRANKLIN ST SYLVESTER, GA 31791", (229) 776-6245, FS, 100, 12-17-2019
HUFF'S CHICKEN COOP,"609 W FRANKLIN ST SYLVESTER, GA 31791", (229) 821-3314, FS, 100, 12-17-2019
ADAMS BACKYARD BAR-B-QUE CATERING AND MORE MOBILE UNIT,"105 W FRANKLIN ST SYLVESTER, GA 31791",, FS, 100, 12-16-2019
ADAMS BACKYARD BAR-B-QUE CATERING AND MORE BASE,"105 W FRANKLIN ST SYLVESTER, GA 31791",, FS, 100, 12-16-2019
FOODIE POPS,"101 N WASHINGTON ST UNIT C SYLVESTER, GA 31791", (229) 344-7032, FS, 100, 12-11-2019
CARLTON'S HAMBURGERS INC.,"119 FRONT ST SYLVESTER, GA 31791", (229) 776-5361, FS, 100, 12-10-2019
DOMINO'S PIZZA,"305 W FRANKLIN ST SYLVESTER, GA 31791",, FS, 100, 12-10-2019
JACKSON'S SOUL FOOD KITCHEN,"113 W KELLY ST SYLVESTER, GA 31791", (229) 777-2222, FS, 100, 12-09-2019
WEBB'S TENDER EXPRESS,"2520 HIGHWAY 82 W SYLVESTER, GA 31791", (229) 776-3948, FS, 100, 12-09-2019
BIG WILLY'S SEAFOOD MOBILE UNIT,"100 N MAIN ST SYLVESTER, GA 31791",, FS, 100, 12-09-2019
A BAG TO GO,"408 W FRANKLIN ST SYLVESTER, GA 31791", (229) 854-7882, FS, 98, 12-04-2019
PHOEBE WORTH MEDICAL CENTER/CAFE 807,"807 S ISABELLA ST SYLVESTER, GA 31791", (229) 776-6971, FS, 100, 12-02-2019
WORTH INN,"905 E FRANKLIN ST SYLVESTER, GA 31791", (229) 776-7777, TA, 98, 11-27-2019
SYLVESTER INN,"909 E FRANKLIN ST SYLVESTER, GA 31791",, TA, 95, 11-27-2019
PRUITT HEALTH - SYLVESTER,"104 MONK ST SYLVESTER, GA 31791",, FS, 100, 11-26-2019
SUBWAY #13356,"630 E FRANKLIN ST SYLVESTER, GA 31791", (229) 776-1512, FS, 100, 11-19-2019
